Log File created successfully.
17:26:40 08 December 2018  :Navigated to -https://transformationqa1.hcmondemand.net
17:26:43 08 December 2018  :finding Element - 
17:26:43 08 December 2018  :Completed finding - 
17:26:43 08 December 2018  :finding Element - 
17:26:43 08 December 2018  :Completed finding - 
17:26:43 08 December 2018  :Element Value Changed - 
17:26:44 08 December 2018  :Clicking on Element - Element (id = 0.9877956523773419-1)
17:26:44 08 December 2018  :Clicked on Element - Element (id = 0.9877956523773419-1)
17:26:46 08 December 2018  :Element Value Changed - 
17:26:56 08 December 2018  :finding Element - 
17:26:56 08 December 2018  :Completed finding - 
17:26:56 08 December 2018  :finding Element - 
17:26:57 08 December 2018  :Completed finding - 
17:26:57 08 December 2018  :Element Value Changed - 
17:26:58 08 December 2018  :Clicking on Element - Element (id = 0.9877956523773419-2)
17:26:58 08 December 2018  :Clicked on Element - Element (id = 0.9877956523773419-2)
17:26:59 08 December 2018  :Element Value Changed - 
17:26:59 08 December 2018  :finding Element - 
17:26:59 08 December 2018  :Completed finding - 
17:26:59 08 December 2018  :finding Element - 
17:26:59 08 December 2018  :Completed finding - 
17:26:59 08 December 2018  :finding Element - 
17:26:59 08 December 2018  :Completed finding - 
17:27:00 08 December 2018  :Clicking on Element - Element (id = 0.9877956523773419-3)
17:27:01 08 December 2018  :Clicked on Element - Element (id = 0.9877956523773419-3)
17:27:01 08 December 2018  :finding Element - 
17:27:01 08 December 2018  :finding Element - 
17:27:06 08 December 2018  :finding Element - 
17:27:08 08 December 2018  :Completed finding - 
17:27:08 08 December 2018  :Clicking on Element - Element (id = 0.5529215430542187-1)
17:27:09 08 December 2018  :Clicked on Element - Element (id = 0.5529215430542187-1)
17:27:09 08 December 2018  :finding Element - 
17:27:09 08 December 2018  :Completed finding - 
17:27:09 08 December 2018  :finding Element - 
17:27:09 08 December 2018  :Completed finding - 
17:27:09 08 December 2018  :Clicking on Element - Element (id = 0.5529215430542187-3)
17:27:09 08 December 2018  :Clicked on Element - Element (id = 0.5529215430542187-3)
17:27:14 08 December 2018  :finding Element - 
17:27:14 08 December 2018  :Completed finding - 
17:27:16 08 December 2018  :finding Element - 
17:27:16 08 December 2018  :Completed finding - 
17:27:17 08 December 2018  :finding Element - 
17:27:17 08 December 2018  :Completed finding - 
17:27:17 08 December 2018  :Clicking on Element - Element (id = 0.641123701574112-3)
17:27:24 08 December 2018  :chrome Instance for MSP is Closed
17:27:24 08 December 2018  :Client Browser:- chrome- Is Not Initialised in the current run
17:27:24 08 December 2018  :Supplier Browser-chrome- Is Not Initialised in the current run
17:27:24 08 December 2018  : Instance for CW is Not Initialised in the current run
